Index,Genre
1059,romance
1059,comedy
1060,drama
1061,sex
1061,drama
1062,action
1062,romance
1063,action
1063,period
1063,drama
1064,drama
1065,romance
1065,comedy
1066,neo
1066,noir
1067,romance
1068,drama
1068,comedy
1069,patriotic
1069,drama
1070,drama
1071,romance
1071,comedy
1072,action
1072,romance
1073,action
1074,drama
1075,musical
1075,drama
1076,crime
1076,action
1076,thriller
1077,drama
1077,comedy
1078,comedy
1079,crime
1079,drama
1080,drama
1081,drama
1082,drama
1082,comedy
1083,dark
1083,comedy
1084,action
1084,drama
1085,horror
1086,drama
1086,thriller
1087,biographic
1088,action
1088,comedy
1089,comedy
1089,romantic
1090,comedy
1091,social
1091,drama
1092,action
1093,drama
1093,thriller
1094,musical
1094,drama
1095,comedy
1096,road
1096,film
1097,drama
1098,thriller
1099,horror
1100,drama
1101,drama
1101,romance
1102,comedy
1102,romance
1103,suspense
1103,thriller
1104,thriller
1105,comedy
1105,romantic
1106,social
1106,comedy
1107,drama
1107,romantic
1108,erotic
1108,thriller
1109,drama
1110,disaster
1110,drama
1111,drama
1112,romantic
1112,thriller
1113,comedy
1114,comedy
1115,suspense
1115,thriller
1116,drama
1116,comedy
1117,crime
1117,thriller
1118,action
1118,drama
1119,Horror
1120,Dark comedy
1121,Drama
1122,Psychological Thriller
1123,Suspense Thriller
1124,Thriller
1125,Drama
1126,Period drama
1127,Comedy Drama
1128,Romantic Comedy
1129,Drama
1130,Romance
1131,Drama
1132,Drama
1133,Comedy
1134,Thriller
1135,Drama
1136,Drama
1137,Erotic thriller
1138,Romantic/ Comedy
1139,Thriller
1140,Satire/ Comedy
1141,Action
1141,thriller
1142,Comedy
1143,Drama
1144,Thriller
1145,Comedy
1146,Comedy
1147,Action/Romance
1148,Comedy thriller
1149,Psychological Thriller
1150,Slice of lifeRomantic drama
1151,Thriller
1152,Drama
1153,Drama
1154,Comedy
1155,Romantic thriller
1156,Thriller
1157,Action
1158,Comedy
1159,Crime Drama
1160,Period Thriller
1161,Horror Thriller
1162,Drama
1163,Comedy
1164,Horror-Comedy
1165,Comedy
1166,Comedy
1167,Action/drama
1168,Suspense thriller
1169,Drama
1170,Romantic comedy
1171,Action
1172,Drama/Action
1173,Thriller
1174,Biopic
1175,Biopic
1176,Comedy
1177,Drama
1178,Horror/Thriller
1179,Drama
1180,Romantic Comedy
1181,Musical comedy
1182,Drama
1183,Crime Comedy
1184,Drama
1185,Comedy
1186,Sports/Drama
1187,Action/Thriller
1188,Comedy
1190,Comedy
1191,Horror Comedy
1192,Action/War
1193,Drama/Romance
1194,Psychological drama
1195,Drama
1196,Romantic/ Drama
1197,Drama
1198,Action/Drama/Musical
1199,Comedy
1200,Drama
1201,Drama
1202,Comedy
1203,Romance
1203,Social Drama
1204,Biographical
1205,Romance
1206,Romance
