Index,orig_lang
1745,Japanese
1746,English
1747,English
1748,English
1749,English
1750,English
1751,English
1752,English
1753,English
1754,English
1755,English
1756,English
1757,English
1758,German
1759,Spanish
1759,Castilian
1760,English
1761,English
1762,English
1763,Cantonese
1764,Italian
1765,English
1766,English
1767,English
1768,English
1769,English
1770,Japanese
1771,English
1772,English
1773,English
1774,English
1775,English
1776,Japanese
1777,Japanese
1778,English
1779,Dutch
1779,Flemish
1780,English
1781,Finnish
1782,English
1783,English
1784,English
1785,English
1786,English
1787,English
1788,English
1789,Korean
1790,Spanish
1790,Castilian
1791,Chinese
1792,English
1793,English
1794,English
1795,Japanese
1796,Spanish
1796,Castilian
1797,English
1798,English
1799,Russian
1800,Japanese
1801,Hindi
1802,Spanish
1802,Castilian
1803,English
1804,Spanish
1804,Castilian
1805,French
1806,Thai
1807,English
1808,French
1809,English
1810,English
1811,English
1812,Spanish
1812,Castilian
1813,Spanish
1813,Castilian
1814,English
1815,English
1816,English
1817,English
1818,Spanish
1818,Castilian
1819,English
1820,English
1821,Japanese
1822,English
1823,English
1824,English
1825,Spanish
1825,Castilian
1826,English
1827,English
1828,English
1829,Korean
1830,Korean
1831,Italian
1832,English
1833,English
1834,Japanese
1835,Japanese
1836,English
1837,English
1838,English
1839,English
1840,English
1841,English
1842,Spanish
1842,Castilian
1843,English
1844,English
1845,English
1846,German
1847,English
1848,English
1849,English
1850,English
1851,Spanish
1851,Castilian
1852,English
1853,English
1854,English
1855,English
1856,Hindi
1857,English
1858,English
1859,Japanese
1860,English
1861,English
1862,English
1863,Korean
1864,Spanish
1864,Castilian
1865,English
1866,English
1867,English
1868,English
1869,English
1870,English
1871,English
1872,English
1873,English
1874,English
1875,English
1876,English
1877,Korean
1878,English
1879,Portuguese
1880,English
1881,English
1882,Japanese
1883,English
1884,English
1885,Japanese
1886,Turkish
1887,English
1888,English
1889,English
1890,English
1891,English
1892,English
1893,English
1894,English
1895,English
1896,English
1897,English
1898,English
1899,English
1900,English
1901,English
1902,Spanish
1902,Castilian
1903,English
1904,English
1905,English
1906,English
1907,English
1908,English
1909,English
1910,English
1911,English
1912,English
1913,English
1914,English
1915,English
1916,English
1917,English
1918,Japanese
1919,English
1920,English
1921,Spanish
1921,Castilian
1922,Japanese
1923,English
1924,English
1925,English
1926,English
1927,English
1928,English
1929,English
1930,Japanese
1931,Chinese
1932,English
1933,English
1934,English
1935,English
1936,English
1937,Japanese
1938,English
1939,English
1940,Japanese
1941,English
1942,Thai
1943,English
1944,English
1945,English
1946,English
1947,English
1948,Spanish
1948,Castilian
1949,English
1950,English
1951,English
1952,English
1953,English
1954,English
1955,English
1956,English
1957,English
1958,Korean
1959,Korean
1960,English
1961,English
1962,English
1963,Italian
1964,English
1965,English
1966,English
1967,English
1968,English
1969,Japanese
1970,Japanese
1971,English
1972,English
1973,English
1974,English
1975,Japanese
1976,English
1977,English
1978,English
1979,English
1980,English
1981,Chinese
1982,Japanese
1983,English
1984,German
1985,English
1986,English
1987,English
1988,English
1989,German
1990,English
1991,English
1992,English
1993,English
1994,English
1995,Chinese
1996,English
1997,Japanese
1998,English
1999,English
2000,English
2001,English
2002,Italian
2003,English
2004,English
2005,English
2006,Cantonese
2007,English
2008,English
2009,English
2010,English
2011,Korean
2012,English
2013,English
2014,Polish
2015,Japanese
2016,French
2017,Cantonese
2018,English
2019,English
2020,English
2021,English
2022,Korean
2023,English
2024,English
2025,English
2026,English
2027,Spanish
2027,Castilian
2028,English
2029,English
2030,English
2031,Korean
2032,English
2033,English
2034,English
2035,English
2036,English
2037,English
2038,Korean
2039,English
2040,English
2041,English
2042,English
2043,English
2044,English
2045,Japanese
2046,English
2047,English
2048,French
2049,Tagalog
2050,English
2051,English
2052,English
2053,English
2054,Korean
2055,Portuguese
2056,English
2057,English
2058,English
2059,English
2060,English
2061,English
2062,English
2063,English
2064,English
2065,Korean
2066,English
2067,English
2068,English
2069,English
2070,English
2071,Turkish
2072,English
2073,English
2074,English
2075,English
2076,English
2077,French
2078,Japanese
2079,English
2080,English
2081,English
2082,English
2083,English
2084,English
2085,English
2086,English
2087,English
2088,English
2089,Spanish
2089,Castilian
2090,English
2091,Korean
2092,English
2093,English
2094,English
2095,English
2096,English
2097,Japanese
2098,English
2099,English
2100,English
2101,Arabic
2102,Hindi
2103,English
2104,English
2105,Spanish
2105,Castilian
2106,Spanish
2106,Castilian
2107,English
2108,English
2109,English
2110,English
2111,English
2112,English
2113,Korean
2114,Portuguese
2115,English
2116,English
2117,English
2118,Japanese
2119,English
2120,English
2121,French
2122,Chinese
2123,English
2124,English
2125,English
2126,English
2127,Japanese
2128,German
2129,English
2130,French
2131,English
2132,English
2133,English
2134,English
2135,English
2136,German
2137,English
2138,Japanese
