index,Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
6266,The Blob,12-01-1989,"Horror, Science Fiction", English,8247943,19000000,Australia,67
6267,Nosferatu,25-10-2013,"Fantasy, Horror", German,19054,46153454.6,United Kingdom,77
6268,It Comes at Night,06-07-2017,"Drama, Horror, Mystery", English,19720203,5000000,Australia,58
6269,Valentine's Day,11-02-2010,"Comedy, Romance", English,217569328,52000000,Australia,59
6270,Marvel Studios Assembled: The Making of She-Hulk: Attorney at Law,03-11-2022,Documentary, English,414551647.4,90100000,United States,71
6271,What Happens in Vegas,08-05-2008,"Comedy, Romance", English,219375562,35000000,Australia,61
6272,The Adjustment Bureau,03-03-2011,"Science Fiction, Thriller, Romance", English,126931325,50200000,Australia,67
6273,The Tale of Despereaux,04-09-2014,"Adventure, Animation, Family", English,90482317,60000000,Australia,60
6274,Dr. Strange,06-09-1978,"TV Movie, Action, Adventure, Fantasy, Science Fiction", English,525397575.6,128400000,United States,62
6275,Summertime,19-08-2015,"Comedy, Drama, Romance", French,541292565.8,120580000,France,67
6276,Dead Man Walking,28-02-1996,Drama, English,83088295,11000000,Australia,74
6277,Masterminds,29-11-2016,"Action, Comedy, Crime", English,30850666,25000000,Australia,57
6278,My Friend's Sister 2,10-08-2018,Romance, Korean,38157314,201940000,South Korea,10
6279,Roujin Z,14-09-1991,"Animation, Drama, Science Fiction", Japanese,683521420.2,51000000,Japan,64
6280,The Book of Henry,29-11-2017,"Drama, Crime, Thriller", English,4797845,10000000,Australia,75
6281,The Dyatlov Pass Incident,23-08-2013,"Thriller, Mystery", English,5217347,8500000,Australia,59
6282,We Bought a Zoo,08-12-2011,"Drama, Comedy, Family", English,118729073,50000000,Australia,68
6283,Batman: Gotham Knight,03-07-2008,"Science Fiction, Animation, Action, Crime, Thriller", English,263990102.2,3500000,Australia,67
6284,Dancing on Glass,08-04-2022,Drama," Spanish, Castilian",408974526,110800000,United States,62
6285,Switch,04-01-2023,"Comedy, Drama, Fantasy", Korean,602668824.8,136000000,South Korea,63
6286,Bill & Ted Face the Music,10-09-2020,"Comedy, Science Fiction, Adventure", English,6255630,25000000,Australia,59
6287,Midori,02-05-1992,"Animation, Drama, Horror, Romance", Japanese,1056000135,115200000,Japan,64
6288,The Last King of Scotland,01-02-2007,Drama, English,49155371,6000000,Australia,74
6289,The NeverEnding Story III,29-06-1995,"Fantasy, Family", English,9540108,17000000,Australia,45
6290,Dead Calm,25-05-1989,"Thriller, Horror", English,7825000,10400000,Australia,66
6291,At Eternity's Gate,20-12-2018,Drama, English,406434252.2,95000000,Australia,69
6292,Colossal,13-04-2017,"Drama, Fantasy, Science Fiction", English,3029287,7840689,Australia,63
6293,Highlander III: The Sorcerer,15-12-1994,"Fantasy, Action", English,36800000,26000000,Australia,47
